Date / Time;24/05/2023 14:41;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE5a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-10.9;NaN;0;20.6;NaN;NaN
1.5;190.9;NaN;52;20.2;1.5;201.8
1.525;194.8;NaN;268;19.2;0.025;3.9
1.55;199.1;NaN;287;19.1;0.025;4.3
1.575;202.7;NaN;302;19.1;0.025;3.6
1.6;205.6;125.44;317;19.1;0.025;2.9
1.625;208.7;109.52;332;19;0.025;3.1
1.65;211.2;97.63;347;19;0.025;2.5
1.675;213.6;89.38;362;19;0.025;2.4
1.7;215.7;81.84;378;19;0.025;2.1
1.725;217.6;74.79;393;18.9;0.025;1.9
1.75;219.5;70.26;408;18.9;0.025;1.9
1.775;221.1;65.86;423;18.9;0.025;1.6
1.8;222.8;62.58;438;18.9;0.025;1.7
1.825;224.3;59.36;456;18.9;0.025;1.5
1.85;225.7;55.95;471;18.8;0.025;1.4
1.875;227.1;53.02;486;18.8;0.025;1.4
1.9;228.4;NaN;501;18.8;0.025;1.3
1.925;229.6;NaN;516;18.8;0.025;1.2
1.95;230.7;NaN;532;18.8;0.025;1.1
1.975;231.8;NaN;547;18.8;0.025;1.1
2;232.8;NaN;562;18.8;0.025;1
