Date / Time;26/05/2023 10:10;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM3;;;;;
Sample size;50;mL;;;;
Density;1.0;g/mL;;;;
Correction factor;1.0;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0.000;-25.2;NaN;0;20.2;NaN;NaN
1.300;202.1;NaN;64;19.8;1.300;227.3
1.325;205.8;NaN;280;19.1;0.025;3.7
1.350;208.8;NaN;295;19.1;0.025;3.0
1.375;211.5;NaN;310;19.1;0.025;2.7
1.400;213.8;97.50;325;19.1;0.025;2.3
1.425;216.1;83.52;340;19.0;0.025;2.3
1.450;218.1;77.96;355;19.0;0.025;2.0
1.475;219.9;72.67;371;19.0;0.025;1.8
1.500;221.8;68.16;386;19.0;0.025;1.9
1.525;223.4;63.87;401;19.0;0.025;1.6
1.550;224.9;60.35;416;18.9;0.025;1.5
1.575;226.4;56.78;431;18.9;0.025;1.5
1.600;227.8;NaN;446;18.9;0.025;1.4
1.625;229.1;NaN;462;18.9;0.025;1.3
1.650;230.3;NaN;477;18.9;0.025;1.2
1.675;231.5;NaN;492;18.9;0.025;1.2
1.700;232.6;NaN;507;18.9;0.025;1.1
